start,end,speaker_id,duration
0.976,30.195,SPEAKER_01,29.219
32.419,41.638000000000005,SPEAKER_00,9.219000000000008
41.638,42.452999999999996,SPEAKER_01,0.8149999999999977
41.655,42.725,SPEAKER_00,1.0700000000000003
42.674,44.032,SPEAKER_01,1.357999999999997
45.798,67.105,SPEAKER_00,21.307000000000002
67.224,82.79299999999999,SPEAKER_01,15.568999999999988
84.643,102.572,SPEAKER_00,17.929000000000002
103.489,117.53,SPEAKER_01,14.040999999999997
119.737,138.667,SPEAKER_00,18.930000000000007
139.346,168.956,SPEAKER_01,29.609999999999985
170.925,192.31799999999998,SPEAKER_00,21.392999999999972
192.317,193.692,SPEAKER_01,1.375
192.776,193.52300000000002,SPEAKER_00,0.7470000000000141
193.812,216.579,SPEAKER_01,22.766999999999996
218.565,237.767,SPEAKER_00,19.201999999999998
238.107,238.667,SPEAKER_01,0.5600000000000023
238.175,239.346,SPEAKER_00,1.1709999999999923
239.856,240.654,SPEAKER_01,0.7980000000000018
240.314,241.01,SPEAKER_00,0.695999999999998
241.044,251.31599999999997,SPEAKER_01,10.271999999999963
253.659,271.553,SPEAKER_00,17.894000000000005
272.148,304.541,SPEAKER_01,32.39299999999997
306.986,326.03499999999997,SPEAKER_00,19.048999999999978
326.358,335.459,SPEAKER_01,9.100999999999999
337.547,355.93399999999997,SPEAKER_00,18.386999999999944
356.256,363.981,SPEAKER_01,7.725000000000023
365.968,381.435,SPEAKER_00,15.466999999999985
382.165,383.72700000000003,SPEAKER_01,1.5620000000000118
385.713,397.174,SPEAKER_00,11.460999999999956
397.615,399.092,SPEAKER_01,1.4769999999999754
401.435,406.596,SPEAKER_00,5.161000000000001
407.326,408.345,SPEAKER_01,1.0190000000000055
410.093,417.445,SPEAKER_00,7.351999999999975
417.75,421.23,SPEAKER_01,3.480000000000018
423.642,429.346,SPEAKER_00,5.704000000000008
